unique_id,for_born,region,fb_num,text,group
CA_Oakland_D2,Latin & Nordic 5%,W,5,Latin Nordic,Latin Nordic
CA_Oakland_D20,various 10%,W,10,various,various
CA_Oakland_D3,Latin & Nordic 10%,W,10,Latin Nordic,Latin Nordic
CA_Oakland_D4,Latin & Nordic 15%,W,15,Latin Nordic,Latin Nordic
CA_Oakland_D5,Latin races N/A,W,NA,Latin races N A,Latin races
CA_Oakland_D6,"Latin, etc 20%",W,20,Latin etc,Latin etc
CA_Oakland_D7,25% Latin races,W,25,Latin races,Latin races
CA_Oakland_D8,"Latin, Slavic, etc. 20%",W,20,Latin Slavic etc,Latin Slavic etc
CA_Oakland_D9,"Latin, Slavic, etc. 15%",W,15,Latin Slavic etc,Latin Slavic etc
CA_San Jose_A1,None,W,0,None,
CA_San Jose_A2,None,W,0,None,
CA_San Jose_B1,None,W,0,None,
CA_San Jose_B2,No concentration,W,0,No concentration,
CA_San Jose_B3,No,W,0,No,
CA_San Jose_B4,No,W,0,No,
CA_San Jose_B5,None,W,0,None,
CA_San Jose_B6,No concentration,W,0,No concentration,
CA_San Jose_B7,No concentration,W,0,No concentration,
CA_San Jose_C1,None,W,0,None,
CA_San Jose_C10,Very few,W,3.5,Very few,
CA_San Jose_C11,No concentration,W,0,No concentration,
CA_San Jose_C12,Few,W,0.024390243902439025,Few,
CA_San Jose_C13,No concentration,W,0,No concentration,
CA_San Jose_C14,No concentration,W,0,No concentration,
CA_San Jose_C15,No concentration,W,0,No concentration,
CA_San Jose_C2,No concentration,W,0,No concentration,
CA_San Jose_C3,No,W,0,No,
CA_San Jose_C4,Mexicans-trace,W,NA,Mexicans trace,Mexicans trace
CA_San Jose_C5,None No concentration,W,0,None No concentration,None No
CA_San Jose_C6,None,W,0,None,
CA_San Jose_C7,10 Italians,W,10,Italians,Italians
CA_San Jose_C8,No,W,0,No,
CA_San Jose_C9,No concentration,W,0,No concentration,
CA_San Jose_D1,20 Portuguese,W,20,Portuguese,Portuguese
CA_San Jose_D10,75% Italian and Portuguese,W,75,Italian and Portuguese,Italiand Portuguese
CA_San Jose_D11,75% Italians,W,75,Italians,Italians
CA_San Jose_D2,Italians 25,W,25,Italians,Italians
CA_San Jose_D3,"\"" Orientals 35% Italians 50%",W,35,Orientals Italians,Orientals Italians
CA_San Jose_D4,75% Italian,W,75,Italian,Italian
CA_San Jose_D5,Italians mostly 15%,W,15,Italians mostly,Italians mostly
CA_San Jose_D6,No concentration,W,0,No concentration,
CA_San Jose_D7,No concentration,W,0,No concentration,
CA_San Jose_D8,Italians & Slay  50%,W,50,Italians Slay,Italians Slay
CA_San Jose_D9,35% Italians & Portguese,W,35,Italians Portguese,Italians Portguese
CT_New Haven_A1,0 None,NE,0,None,
CT_New Haven_A2,None 0,NE,0,None,
CT_New Haven_A3,None 0,NE,0,None,
CT_New Haven_A4,None 0,NE,0,None,
CT_New Haven_A5,None 0,NE,0,None,
CT_New Haven_A6,None 0,NE,0,None,
CT_New Haven_A7,None 0,NE,0,None,
CT_New Haven_A8,0 None,NE,0,None,
CT_New Haven_B1,0 None,NE,0,None,
CT_New Haven_B10,None 0,NE,0,None,
CT_New Haven_B2,Mixed 5,NE,5,Mixed,Mixed
CT_New Haven_B3,0 None,NE,0,None,
CT_New Haven_B4,0 None,NE,0,None,
CT_New Haven_B5,Jewish 70,NE,70,Jewish,Jewish
CT_New Haven_B6,None 0,NE,0,None,
CT_New Haven_B7,0 None,NE,0,None,
CT_New Haven_B8,0 None,NE,0,None,
CT_New Haven_B9,0 None,NE,0,None,
CT_New Haven_C1,10 Mixed,NE,10,Mixed,Mixed
CT_New Haven_C10,70 Poles and Italians,NE,70,Poles and Italians,Poles  Italians
CT_New Haven_C11,Poles and Italians 70,NE,70,Poles and Italians,Poles  Italians
CT_New Haven_C12,75 Italians,NE,75,Italians,Italians
CT_New Haven_C13,30 Mixed,NE,30,Mixed,Mixed
CT_New Haven_C14,None 0,NE,0,None,
CT_New Haven_C15,None 0,NE,0,None,
CT_New Haven_C16,10 Mixed,NE,10,Mixed,Mixed
CT_New Haven_C17,None 0,NE,0,None,
CT_New Haven_C18,Italians 95,NE,95,Italians,Italians
CT_New Haven_C19,Mixed 20,NE,20,Mixed,Mixed
CT_New Haven_C2,Mixed 10,NE,10,Mixed,Mixed
CT_New Haven_C20,Italians 20,NE,20,Italians,Italians
CT_New Haven_C3,75 Italians,NE,75,Italians,Italians
CT_New Haven_C4,Italians 30,NE,30,Italians,Italians
CT_New Haven_C5,50 Mixed,NE,50,Mixed,Mixed
CT_New Haven_C6,15 Mixed,NE,15,Mixed,Mixed
CT_New Haven_C7,20 Mixed,NE,20,Mixed,Mixed
CT_New Haven_C8,0 None,NE,0,None,
CT_New Haven_C9,Polish 50,NE,50,Polish,Polish
CT_New Haven_D1,100 Italians,NE,100,Italians,Italians
CT_New Haven_D2,Italians 100,NE,100,Italians,Italians
CT_New Haven_D3,Mixed 90,NE,90,Mixed,Mixed
CT_New Haven_D4,30 Mixed,NE,30,Mixed,Mixed
CT_New Haven_D5,Mixed 90,NE,90,Mixed,Mixed
CT_New Haven_D6,Italians 100,NE,100,Italians,Italians
CT_New Haven_D7,70 Italians,NE,70,Italians,Italians
CT_New Haven_D8,98 Mixed,NE,98,Mixed,Mixed
CT_New Haven_D9,Mixed 75,NE,75,Mixed,Mixed
"CT_Stamford, Darien, and New Canaan_A1",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_A2",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_A3",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_A4",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_A5",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_A6",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_A7",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_A8",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B1",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B10",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B2",10 Italians,NE,10,Italians,Italians
"CT_Stamford, Darien, and New Canaan_B3",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B4",None 0,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B5",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B6",none 0,NE,0,none,
"CT_Stamford, Darien, and New Canaan_B7",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B8",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_B9",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_C1",0 None,NE,0,None,
"CT_Stamford, Darien, and New Canaan_C2",Italians 65,NE,65,Italians,Italians
"CT_Stamford, Darien, and New Canaan_C3",Polish 60,NE,60,Polish,Polish
"CT_Stamford, Darien, and New Canaan_C4",Mixed 50,NE,50,Mixed,Mixed
"CT_Stamford, Darien, and New Canaan_C5",Mixed 20,NE,20,Mixed,Mixed
"CT_Stamford, Darien, and New Canaan_C6",Italians 20,NE,20,Italians,Italians
"CT_Stamford, Darien, and New Canaan_D1",Italians 60,NE,60,Italians,Italians
"CT_Stamford, Darien, and New Canaan_D2",80 Mixed,NE,80,Mixed,Mixed
"CT_Stamford, Darien, and New Canaan_D3",Italians 70,NE,70,Italians,Italians
CT_Waterbury_A1,0 None,NE,0,None,
CT_Waterbury_B1,None 0,NE,0,None,
CT_Waterbury_B2,None 0,NE,0,None,
CT_Waterbury_B3,None 0,NE,0,None,
CT_Waterbury_B4,None.  0,NE,0,None,
CT_Waterbury_B5,None. 0,NE,0,None,
CT_Waterbury_C1,50 Polish and Italian,NE,50,Polish and Italian,Polish  Italian
CT_Waterbury_C2,Polish & Italians 50,NE,50,Polish Italians,Polish Italians
CT_Waterbury_C3,Lithuanians & others 30,NE,30,Lithuanians others,Lithuanians others
CT_Waterbury_C4,Mixed 30,NE,30,Mixed,Mixed
CT_Waterbury_C5,Mixed 40,NE,40,Mixed,Mixed
CT_Waterbury_C6,20 Mixed,NE,20,Mixed,Mixed
CT_Waterbury_C7,50 Italians,NE,50,Italians,Italians
CT_Waterbury_D1,80 Mixed,NE,80,Mixed,Mixed
CT_Waterbury_D2,70 Mixed,NE,70,Mixed,Mixed
FL_St. Petersburg_A1,None,S,0,None,
FL_St. Petersburg_A2,None,S,0,None,
FL_St. Petersburg_A3,None,S,0,None,
FL_St. Petersburg_A4,None,S,0,None,
FL_St. Petersburg_A5,,S,0,,
FL_St. Petersburg_B1,None,S,0,None,
FL_St. Petersburg_B2,None,S,0,None,
FL_St. Petersburg_B3,None,S,0,None,
FL_St. Petersburg_B4,None,S,0,None,
FL_St. Petersburg_B5,None,S,0,None,
FL_St. Petersburg_B6,None,S,0,None,
FL_St. Petersburg_B7,None,S,0,None,
FL_St. Petersburg_B8,None,S,0,None,
FL_St. Petersburg_B9,None,S,0,None,
FL_St. Petersburg_C1,None,S,0,None,
FL_St. Petersburg_C10,None,S,0,None,
FL_St. Petersburg_C11,,S,0,,
FL_St. Petersburg_C12,,S,0,,
FL_St. Petersburg_C13,,S,0,,
FL_St. Petersburg_C14,,S,0,,
FL_St. Petersburg_C15,,S,0,,
FL_St. Petersburg_C16,,S,0,,
FL_St. Petersburg_C17,,S,0,,
FL_St. Petersburg_C18,,S,0,,
FL_St. Petersburg_C19,,S,0,,
FL_St. Petersburg_C2,None,S,0,None,
FL_St. Petersburg_C20,,S,0,,
FL_St. Petersburg_C3,None,S,0,None,
FL_St. Petersburg_C4,None,S,0,None,
FL_St. Petersburg_C5,None,S,0,None,
FL_St. Petersburg_C6,None,S,0,None,
FL_St. Petersburg_C7,None,S,0,None,
FL_St. Petersburg_C8,None,S,0,None,
FL_St. Petersburg_C9,None,S,0,None,
FL_St. Petersburg_D1,None,S,0,None,
FL_St. Petersburg_D10,,S,0,,
FL_St. Petersburg_D11,,S,0,,
FL_St. Petersburg_D12,,S,0,,
FL_St. Petersburg_D13,,S,0,,
FL_St. Petersburg_D14,,S,0,,
FL_St. Petersburg_D2,None,S,0,None,
FL_St. Petersburg_D3,None,S,0,None,
FL_St. Petersburg_D4,,S,0,,
FL_St. Petersburg_D5,None,S,0,None,
FL_St. Petersburg_D6,None,S,0,None,
FL_St. Petersburg_D7,None,S,0,None,
FL_St. Petersburg_D8,,S,0,,
FL_St. Petersburg_D9,,S,0,,
GA_Augusta_A1,None,S,0,None,
GA_Augusta_B1,None,S,0,None,
GA_Augusta_B2,None,S,0,None,
GA_Augusta_B3,None,S,0,None,
GA_Augusta_B4,None,S,0,None,
GA_Augusta_B5,None,S,0,None,
GA_Augusta_B6,None,S,0,None,
GA_Augusta_B7,None,S,0,None,
GA_Augusta_B8,None,S,0,None,
GA_Augusta_B9,None,S,0,None,
GA_Augusta_C1,None,S,0,None,
GA_Augusta_C2,None,S,0,None,
GA_Augusta_C3,None,S,0,None,
GA_Augusta_C4,None,S,0,None,
GA_Augusta_C5,None,S,0,None,
GA_Augusta_C6,None,S,0,None,
GA_Augusta_C7,None,S,0,None,
GA_Augusta_C8,None,S,0,None,
GA_Augusta_D1,None,S,0,None,
GA_Augusta_D10,"Mixture: Greeks, Chinese, and Italians 1%",S,1,Mixture Greeks Chinese and Italians,Mixture Greeks Chinese  Italians
GA_Augusta_D11,"Mixture: Greeks, Chinese, and Italians 1%",S,1,Mixture Greeks Chinese and Italians,Mixture Greeks Chinese  Italians
GA_Augusta_D12,None,S,0,None,
GA_Augusta_D2,None,S,0,None,
GA_Augusta_D3,None,S,0,None,
GA_Augusta_D4,None,S,0,None,
GA_Augusta_D5,None,S,0,None,
GA_Augusta_D6,None,S,0,None,
GA_Augusta_D7,None,S,0,None,
GA_Augusta_D8,None,S,0,None,
GA_Augusta_D9,"1% Mixture: Greeks, Chinese, and Italians",S,1,Mixture Greeks Chinese and Italians,Mixture Greeks Chinese  Italians
GA_Columbus_A1,None,S,0,None,
GA_Columbus_A2,None,S,0,None,
GA_Columbus_A3,None,S,0,None,
GA_Columbus_A4,None,S,0,None,
GA_Columbus_B1,None,S,0,None,
GA_Columbus_B2,None,S,0,None,
GA_Columbus_B3,None,S,0,None,
GA_Columbus_B4,None,S,0,None,
GA_Columbus_B5,None,S,0,None,
GA_Columbus_B6,None,S,0,None,
GA_Columbus_B7,None,S,0,None,
GA_Columbus_C1,None,S,0,None,
GA_Columbus_C2,None,S,0,None,
GA_Columbus_C3,None,S,0,None,
GA_Columbus_C4,None,S,0,None,
GA_Columbus_C5,None,S,0,None,
GA_Columbus_C6,None,S,0,None,
GA_Columbus_C7,"Greeks, Russians and Italians 5",S,5,Greeks Russians and Italians,Greeks Russians  Italians
GA_Columbus_C8,None,S,0,None,
GA_Columbus_C9,None,S,0,None,
GA_Columbus_D1,None,S,0,None,
GA_Columbus_D2,None,S,0,None,
GA_Columbus_D3,None,S,0,None,
GA_Columbus_D4,None,S,0,None,
GA_Columbus_D5,None,S,0,None,
GA_Macon_A1,None,S,0,None,
GA_Macon_A2,None,S,0,None,
GA_Macon_B1,None,S,0,None,
GA_Macon_B2,None,S,0,None,
GA_Macon_B3,None,S,0,None,
GA_Macon_B4,None,S,0,None,
GA_Macon_B5,None,S,0,None,
GA_Macon_B6,None,S,0,None,
GA_Macon_C1,None,S,0,None,
GA_Macon_C10,None,S,0,None,
GA_Macon_C11,None,S,0,None,
GA_Macon_C12,None,S,0,None,
GA_Macon_C13,None,S,0,None,
GA_Macon_C14,None,S,0,None,
GA_Macon_C15,None,S,0,None,
GA_Macon_C16,None,S,0,None,
GA_Macon_C2,None,S,0,None,
GA_Macon_C3,None,S,0,None,
GA_Macon_C4,None,S,0,None,
GA_Macon_C5,None,S,0,None,
GA_Macon_C6,None,S,0,None,
GA_Macon_C7,None,S,0,None,
GA_Macon_C8,None,S,0,None,
GA_Macon_C9,None,S,0,None,
GA_Macon_D1,None,S,0,None,
GA_Macon_D10,None,S,0,None,
GA_Macon_D11,None,S,0,None,
GA_Macon_D12,1% Jews and Russians,S,1,Jews and Russians,Jews  Russians
GA_Macon_D13,None,S,0,None,
GA_Macon_D14,None,S,0,None,
GA_Macon_D15,None,S,0,None,
GA_Macon_D16,None,S,0,None,
GA_Macon_D2,Russian Jews 5%,S,5,Russian Jews,Russian Jews
GA_Macon_D3,None,S,0,None,
GA_Macon_D4,"1% Syrians, Jews and Greeks",S,1,Syrians Jews and Greeks,Syrians Jews  Greeks
GA_Macon_D5,"Syrians, Jews and Greeks 1%",S,1,Syrians Jews and Greeks,Syrians Jews  Greeks
GA_Macon_D6,Syrians 1%,S,1,Syrians,Syrians
GA_Macon_D7,None,S,0,None,
GA_Macon_D8,None,S,0,None,
GA_Macon_D9,"Jews, Syrians, and Greeks 1%",S,1,Jews Syrians and Greeks,Jews Syrians  Greeks
IL_Decatur_A1,0 None,MW,0,None,
IL_Decatur_A2,0 None,MW,0,None,
IL_Decatur_B1,0 None,MW,0,None,
IL_Decatur_B2,None 0,MW,0,None,
IL_Decatur_B3,None 0,MW,0,None,
IL_Decatur_B4,None 0,MW,0,None,
IL_Decatur_B5,None 0,MW,0,None,
IL_Decatur_B6,None 0,MW,0,None,
IL_Decatur_B7,0 None,MW,0,None,
IL_Decatur_C1,Few 5,MW,5,Few,
IL_Decatur_C2,5 Few,MW,5,Few,
IL_Decatur_C3,5 Few,MW,5,Few,
IL_Decatur_C4,Few 5,MW,5,Few,
IL_Decatur_C5,None 0,MW,0,None,
IL_Decatur_C6,5 Few,MW,5,Few,
IL_Decatur_D1,0 None,MW,0,None,
IL_Decatur_D2,Few 5,MW,5,Few,
IL_Decatur_D3,5 Yes,MW,5,Yes,
IL_Decatur_D4,5 Yes,MW,5,Yes,
IL_Decatur_D5,None 0,MW,0,None,
IL_Decatur_D6,5 Few,MW,5,Few,
IL_Joliet_A1,2 Mixed,MW,2,Mixed,Mixed
IL_Joliet_B1,2 Mixed,MW,2,Mixed,Mixed
IL_Joliet_B2,Few 1,MW,1,Few,
IL_Joliet_B3,10 Mixed,MW,10,Mixed,Mixed
IL_Joliet_B4,Mixed German & Polish 20,MW,20,Mixed German Polish,Mixed German Polish
IL_Joliet_B5,5 Few,MW,5,Few,
IL_Joliet_B6,Very few,MW,3.5,Very few,
IL_Joliet_B7,None. --,MW,0,None,
IL_Joliet_B8,"Few, if any -",MW,5.0344827586206895,Few if any,if any
IL_Joliet_C1,80 Polish and Slovanian,MW,80,Polish and Slovanian,Polish  Slovanian
IL_Joliet_C10,"70 Creation, Polish, Slovanian",MW,70,Creation Polish Slovanian,Creation Polish Slovanian
IL_Joliet_C11,10 Italians and mixed,MW,10,Italians and mixed,Italians  mixed
IL_Joliet_C12,60 Mixed and Italians,MW,60,Mixed and Italians,Mixed  Italians
IL_Joliet_C13,Few 2,MW,2,Few,
IL_Joliet_C14,-- Few,MW,5.0344827586206895,Few,
IL_Joliet_C2,"70 Polish, Slovanian, & German",MW,70,Polish Slovanian German,Polish Slovanian German
IL_Joliet_C3,"25 Mixed Irish, Italian",MW,25,Mixed Irish Italian,Mixed Irish Italian
IL_Joliet_C4,"Mixed, Polish, Creation, Slovanian 80",MW,80,Mixed Polish Creation Slovanian,Mixed Polish Creation Slovanian
IL_Joliet_C5,Few 2,MW,2,Few,
IL_Joliet_C6,"70 Swedes, Austrians, Polish, Creation, mixed",MW,70,Swedes Austrians Polish Creation mixed,Swedes Austrians Polish Creation mixed
IL_Joliet_C7,5 Few,MW,5,Few,
IL_Joliet_C8,Italians and mixed 5,MW,5,Italians and mixed,Italians  mixed
IL_Joliet_C9,"25 Mixed, Italians, Polish, Austrians",MW,25,Mixed Italians Polish Austrians,Mixed Italians Polish Austrians
IL_Joliet_D1,"40 Mixed, Greeks & Mexicans",MW,40,Mixed Greeks Mexicans,Mixed Greeks Mexicans
IL_Joliet_D2,"Slovanains, Polish, etc.",MW,NA,Slovanains Polish etc,Slovanains Polish etc
IL_Joliet_D3,Mixed 50,MW,50,Mixed,Mixed
IL_Joliet_D4,No --,MW,0,No,
IL_Joliet_D5,Italians and mixed 60,MW,60,Italians and mixed,Italians  mixed
IL_Joliet_D6,-- None,MW,0,None,
IL_Joliet_D7,Few --,MW,5.0344827586206895,Few,
IL_Joliet_D8,None --,MW,0,None,
IL_Joliet_D9,5 Italian,MW,5,Italian,Italian
IL_Springfield_C4,5 Yes,MW,5,Yes,
IL_Springfield_C5,No 0,MW,0,No,
IL_Springfield_C6,0 No,MW,0,No,
IL_Springfield_C7,0 No,MW,0,No,
IL_Springfield_D1,Lithuanians & mixed So. Europ. 50,MW,50,Lithuanians mixed So Europ,Lithuanians mixed So Europ
IL_Springfield_D10,No 0,MW,0,No,
IL_Springfield_D11,4 Few,MW,4,Few,
IL_Springfield_D12,Few 5,MW,5,Few,
IL_Springfield_D13,0 No,MW,0,No,
IL_Springfield_D2,10 Mixed Europeans,MW,10,Mixed Europeans,Mixed Europeans
IL_Springfield_D3,No 0,MW,0,No,
IL_Springfield_D4,0 No,MW,0,No,
IL_Springfield_D5,40 Lithuanian & mixed So. Europ.,MW,40,Lithuanian mixed So Europ,Lithuanian mixed So Europ
IL_Springfield_D6,None 0,MW,0,None,
IL_Springfield_D7,No 0,MW,0,No,
