state,city,metro,nhoods,sheets,region,yr_sheet,ads_type
OH,Lima,Lima,27,1,MW,2/3/1937,early37
OH,Lorain,Lorain,18,1,MW,6/1/1937,early37
OH,Portsmouth,Portsmouth,21,1,MW,10/1/1937,late37
OH,Springfield,"Springfield, OH",37,0.72972973,MW,10/1/1937,late37
OH,Toledo,Toledo,78,1,MW,10/1/1937,late37
OH,Warren,Warren,20,1,MW,8/26/1937,early37
OH,Youngstown,Youngstown,42,1,MW,10/1/1937,late37
OK,Oklahoma City,Oklahoma City,90,0,S,none,none
OK,Tulsa,Tulsa,21,0,S,none,none
OR,Portland,Portland,92,0.97826087,W,10/1/1937,late37
PA,Altoona,Altoona,30,1,NE,8/26/1937,early37
PA,Bethlehem,Bethlehem,23,0,NE,none,none
PA,Chester,Chester,21,0,NE,none,none
PA,Erie,Erie,47,1,NE,8/26/1937,early37
PA,Harrisburg,Harrisburg,48,0,NE,none,none
PA,Johnstown,Johnstown,35,1,NE,8/26/1937,early37
PA,Lancaster,Lancaster,33,0,NE,none,none
PA,New Castle,New Castle,26,1,NE,8/26/1937,early37
PA,Philadelphia,Philly-Camden,82,0.975609756,NE,2/3/1937,early37
PA,Pittsburgh,Pittsburgh,114,1,NE,8/26/1937,early37
PA,Wilkes-Barre,Wilkes-Barre,22,0,NE,none,none
PA,York,York,27,1,NE,unique,unique
RI,Pawtucket & Central Falls,Providence Co.,17,0,NE,none,none
RI,Providence,Providence Co.,25,0,NE,none,none
RI,Woonsocket,Providence Co.,8,1,NE,para,para
SC,Columbia,Columbia,33,0.878787879,S,10/1/1937,late37
TN,Chattanooga,Chattanooga,31,1,S,1939,x3940
TN,Knoxville,Knoxville,44,1,S,1939,x3940
TN,Memphis,Memphis,26,0,S,none,none
TN,Nashville,Nashville,9,0,S,none,none
TX,Amarillo,Amarillo,20,0,S,none,none
TX,Austin,Austin,18,0,S,none,none
TX,Beaumont,Beaumont-Port Arthur,21,0,S,none,none
TX,Dallas,Dallas,46,1,S,10/1/1937,late37
TX,El Paso,El Paso,23,1,S,para,para
TX,Fort Worth,Fort Worth,52,0,S,none,none
TX,Galveston,Galveston,4,0,S,none,none
TX,Houston,Houston,40,0,S,none,none
TX,Port Arthur,Beaumont-Port Arthur,7,0,S,none,none
TX,San Antonio,San Antonio,20,0,S,none,none
TX,Waco,Waco,22,0,S,none,none
UT,Ogden,Ogden,23,1,W,para,para
UT,Salt Lake City,Salt Lake City,29,1,W,para,para
VA,Lynchburg,Lynchburg,32,1,S,2/3/1937,early37
VA,Newport News,Norfolk-Newport News,16,0,S,none,none
VA,Norfolk,Norfolk-Newport News,96,1,S,1939,x3940
VA,Richmond,Richmond,48,1,S,2/3/1937,early37
VA,Roanoke,Roanoke,32,0.96875,S,2/3/1937,early37
WA,Seattle,Seattle-Tacoma,60,1,W,para,para
WA,Spokane,Spokane,53,1,W,10/1/1937,late37
WA,Tacoma,Seattle-Tacoma,47,0.978723404,W,10/1/1937,late37
WI,Kenosha,Kenosha,23,1,MW,10/1/1937,late37
WI,Madison,Madison,39,1,MW,8/26/1937,early37
WI,Milwaukee Co.,Milwaukee Co.,112,1,MW,10/1/1937,late37
WI,Oshkosh,Oshkosh,24,1,MW,10/1/1937,late37
WI,Racine,Racine,35,0.971428571,MW,10/1/1937,late37
WV,Charleston,Charleston,43,1,S,10/1/1937,late37
WV,Huntington,Huntington,38,1,S,10/1/1937,late37
WV,Wheeling,Wheeling,24,1,MW,10/1/1937,late37
